sample,unityFrame,time,phase,x,y,scanX,scanY,originMismatch,maxAdjacentJump,maxAdjacentIndex,maxRayDelta,changedRays,bigChangedRays,indoorActive,surfaceActive,nextScanIn
139,423,13.68002,parallel,-38.21184,45.215,-38.21184,45.215,0,1.770676,81,2.076465,177,3,1,1,0.0666666
140,424,13.69693,parallel,-38.19309,45.22533,-38.21184,45.215,0.0214067,1.770676,81,0,0,0,1,1,0.04975224
141,425,13.71599,parallel,-38.14343,45.3021,-38.14343,45.3021,0,2.163406,87,2.480112,180,7,1,1,0.0666666
142,426,13.73515,parallel,-38.12577,45.30941,-38.14343,45.3021,0.01912107,2.163406,87,0,0,0,1,1,0.04750919
143,427,13.75541,parallel,-38.11491,45.22527,-38.11491,45.22527,0,1.84986,83,2.317689,180,5,1,1,0.0666666
144,428,13.7731,parallel,-38.11958,45.20823,-38.11491,45.22527,0.01766737,1.84986,83,0,0,0,1,1,0.04897499
145,429,13.79489,parallel,-38.08895,45.21714,-38.11491,45.22527,0.02720572,1.84986,83,0,0,0,1,1,0.02718925
146,430,13.81492,parallel,-38.04757,45.22723,-38.04757,45.22723,0,1.935005,84,1.991053,178,1,1,1,0.0666666
147,431,13.83612,parallel,-38.06718,45.24503,-38.04757,45.22723,0.02648722,1.935005,84,0,0,0,1,1,0.04546642
148,432,13.85738,parallel,-38.05285,45.25598,-38.04757,45.22723,0.02923584,1.935005,84,0,0,0,1,1,0.02420139
149,433,13.87689,parallel,-38.05418,45.25769,-38.04757,45.22723,0.03116868,1.935005,84,0,0,0,1,1,0.004696846
150,434,13.89798,parallel,-38.03613,45.26756,-38.03613,45.26756,0,2.088054,86,2.180264,179,2,1,1,0.0666666
151,435,13.92313,parallel,-38.01765,45.27765,-38.03613,45.26756,0.02105853,2.088054,86,0,0,0,1,1,0.0415144
152,436,13.97937,parallel,-37.99916,45.28773,-37.99916,45.28773,0,2.174762,87,2.221758,136,1,1,1,0.0666666
153,437,14.00164,parallel,-37.98067,45.29782,-37.99916,45.28773,0.02106188,2.174762,87,0,0,0,1,1,0.0443964
154,438,14.019,parallel,-37.96218,45.3079,-37.99916,45.28773,0.04211858,2.174762,87,0,0,0,1,1,0.02703381
155,439,14.03905,parallel,-37.9437,45.31799,-37.9437,45.31799,0,2.240998,88,2.326169,137,1,1,1,0.0666666
156,440,14.06009,parallel,-37.92521,45.32807,-37.9437,45.31799,0.02106005,2.240998,88,0,0,0,1,1,0.04562378
157,441,14.07835,parallel,-37.90672,45.33815,-37.9437,45.31799,0.04211858,2.240998,88,0,0,0,1,1,0.0273695
158,442,14.10019,parallel,-37.88824,45.34824,-37.88824,45.34824,0,2.34256,89,2.414179,134,1,1,1,0.0666666
159,443,14.12081,parallel,-37.86975,45.35832,-37.88824,45.34824,0.02106188,2.34256,89,0,0,0,1,1,0.04604816
160,444,14.14085,parallel,-37.85126,45.3684,-37.88824,45.34824,0.04211858,2.34256,89,0,0,0,1,1,0.02600861
161,445,14.17474,parallel,-37.83277,45.37849,-37.83277,45.37849,0,2.480623,90,2.542137,137,1,1,1,0.0666666
162,446,14.21377,parallel,-37.81429,45.38857,-37.83277,45.37849,0.0210567,2.480623,90,0,0,0,1,1,0.02763748
